City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Bengkulu,ID,74.93,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
6,Halifax,CA,73.53,broken clouds,44.6453,-63.5724,Hotel Halifax
10,Derzhavinsk,KZ,72.1,moderate rain,51.1,66.3167,Ooo.khim Baza
14,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
19,Sinnar,SD,72.66,overcast clouds,13.5691,33.5672,هجو الطاهر
22,Bon Air,US,85.68,light rain,37.5249,-77.5578,DoubleTree by Hilton Hotel Richmond - Midlothian
23,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
24,Gazanjyk,TM,85.05,clear sky,39.2446,55.5154,Railway motel
25,Westport,US,83.68,clear sky,41.1415,-73.3579,The Westport Inn
29,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
32,Tura,IN,75.06,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
33,Butaritari,KI,83.71,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
35,Atuona,PF,78.71,scattered clouds,-9.8,-139.0333,Villa Enata
36,Korla,CN,87.03,scattered clouds,41.7597,86.1469,Gulisitan Hotel
38,Along,IN,76.95,overcast clouds,28.1667,94.7667,Hotel West
45,Tocache,PE,88.52,scattered clouds,-8.1842,-76.5125,Hotel Ortiz
46,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
52,Kavaratti,IN,82.13,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
55,Hithadhoo,MV,81.97,scattered clouds,-0.6,73.0833,Scoop Guest House
58,Jamestown,US,74.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
64,Porbandar,IN,81.57,light rain,21.6422,69.6093,Lords Inn Porbandar
65,Tual,ID,79.52,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
68,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
69,Kulhudhuffushi,MV,81.73,broken clouds,6.6221,73.07,Hondaafushi Island Resort
70,Ponta Do Sol,PT,73.71,clear sky,32.6667,-17.1,Hotel do Campo
72,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
76,Jining,CN,73.54,clear sky,35.405,116.5814,Yunhe Star Hotel
78,Ribeira Brava,PT,73.71,clear sky,32.65,-17.0667,Hotel do Campo
82,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
84,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
86,Lumphat,KH,73.2,overcast clouds,13.4878,106.9816,Lumphat Homestay
89,Zhangye,CN,70.27,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
91,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
93,Hamilton,US,89.92,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
95,Cortes,ES,77.05,broken clouds,41.9395,-1.4396,Rincon de bu
99,Nishihara,JP,80.26,mist,26.1842,127.7558,Minshuku Agaihama
102,Jambi,ID,73.18,scattered clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
106,Puerto Ayora,EC,80.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
111,Tahta,EG,85.93,clear sky,26.7693,31.5021,El Salam Hotel
112,Ribeira Grande,PT,73.27,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
113,Takoradi,GH,74.62,clear sky,4.8845,-1.7554,Raybow International Hotel
117,Pringsewu,ID,72.63,clear sky,-5.3582,104.9744,Urban Style by Front One
121,Naze,JP,77.49,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
124,Japura,ID,77.34,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
128,Pointe Michel,DM,80.89,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
131,The Valley,AI,84.06,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
133,Samarai,PG,79.09,overcast clouds,-10.6167,150.6667,Nuli Sapi
134,Bontang,ID,76.78,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
139,Vega De Alatorre,MX,85.62,few clouds,20.0333,-96.6333,El Polo Norte
142,Corn Island,NI,81.55,overcast clouds,12.1694,-83.0418,Big Fish Guest House
145,Charleston,US,88.32,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
146,Hobyo,SO,77.47,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
148,Kieta,PG,79.92,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
151,Havelock,US,85.05,clear sky,34.8791,-76.9013,Sherwood Motel
153,Invermere,CA,89.17,clear sky,50.5167,-116.0354,Copper Point Resort
155,Sanjwal,PK,87.94,clear sky,33.7608,72.4336,لبیک یارسول اللہ ہوٹل
156,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
157,Kollam,IN,78.67,scattered clouds,8.8833,76.6,Nani Hotels and Resorts
159,Sao Felix Do Xingu,BR,86.43,broken clouds,-6.6447,-51.995,Rio Xingu Camping
160,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
161,Pak Phanang,TH,83.07,overcast clouds,8.3511,100.202,Green Park Inn Hotel
162,Fukagawa,JP,72.77,broken clouds,43.7081,142.0392,Irumu Inn
164,Moanda,GA,73.29,light rain,-1.5575,13.2178,Heliconia Stadium Moanda
165,Praia Da Vitoria,PT,75.45,few clouds,38.7333,-27.0667,Hotel Branco I
167,Karad,IN,72.16,overcast clouds,17.2833,74.2,Hotel Sugam Lodging
170,Bethel,US,82.42,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
171,Umm Lajj,SA,86.52,clear sky,25.0213,37.2685,Moon light Furnished Units
173,La Spezia,IT,78.67,broken clouds,44.1105,9.8434,Hotel NH La Spezia
179,Bilma,NE,87.57,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
181,Saint-Ambroise,CA,82.89,overcast clouds,48.5501,-71.3324,Motel Saint-Ambroise
183,Two Rivers,US,87.55,clear sky,44.1539,-87.5693,Lighthouse Inn On Lake Michigan
184,West Bay,KY,89.67,scattered clouds,19.3667,-81.4167,Calypso Cove
186,Arrecife,ES,73.47,few clouds,28.963,-13.5477,Hotel Lancelot
188,Cabra,ES,85.3,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
189,Kudahuvadhoo,MV,82.8,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
192,Marica,BR,73.85,clear sky,-22.9194,-42.8186,Marica Hills
193,Sur,OM,89.22,broken clouds,22.5667,59.5289,Sur Plaza Hotel
194,Riviere-Au-Renard,CA,71.89,clear sky,48.9957,-64.3971,Auberge Le Caribou
196,Dabakala,CI,73.74,overcast clouds,8.3667,-4.4333,Hôtel Campement
197,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
201,Port Blair,IN,81.95,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
204,Yangjiang,CN,79.05,broken clouds,21.85,111.9667,HUALUXE Yangjiang City Center
205,Sayville,US,81.84,scattered clouds,40.7359,-73.0821,La Quinta Inn & Suites by Wyndham Islip - MacArthur Airport
206,Itarema,BR,78.85,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
207,Axim,GH,74.98,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
211,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
212,Lagos De Moreno,MX,79.29,light rain,21.35,-101.9167,Scala Hotel
214,Lagoa,PT,70.54,broken clouds,39.05,-27.9833,Casa Das Faias
215,Fortuna,US,71.85,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
217,Trincomalee,LK,81.5,overcast clouds,8.5711,81.2335,Welcombe Hotel
219,Malanville,BJ,78.94,broken clouds,11.8685,3.3899,DEVO HOTEL
226,Puerto Baquerizo Moreno,EC,79.79,few clouds,-0.9,-89.6,Hotel los Algarrobos
227,Guarapari,BR,71.49,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
228,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
230,Lazaro Cardenas,MX,85.59,scattered clouds,17.9583,-102.2,quinta antigua
231,Katsuura,JP,80.71,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
233,Tampico,MX,89.78,clear sky,22.2167,-97.85,HS HOTSSON SMART TAMPICO
234,Smidovich,RU,74.19,scattered clouds,48.6,133.8167,Gostinnitsa
235,Salinopolis,BR,79.05,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
237,Xian,CN,74.21,clear sky,34.2583,108.9286,Grand New World Hotel
238,Mount Pleasant,US,87.94,clear sky,32.7941,-79.8626,Best Western Patriots Point
239,Kavieng,PG,82.17,light rain,-2.5744,150.7967,Nusa Island Retreat
242,Marquette,US,81.84,scattered clouds,46.5333,-87.6335,Al Quaal Lodge
244,Shwebo,MM,79.39,moderate rain,22.5667,95.7,MOON SHINE Guest House
247,Matara,LK,77.11,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
249,Mahebourg,MU,70.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
253,Beaupre,CA,83.7,overcast clouds,47.0443,-70.8953,Chateau Mont-Sainte-Anne
261,Beruwala,LK,78.26,broken clouds,6.4788,79.9828,The Palms Hotel
262,Kropotkin,RU,72.61,broken clouds,45.4375,40.5756,Hotel Europe Kropotkin
266,Ciudad Bolivar,VE,83.75,overcast clouds,8.1222,-63.5497,Hotel Edi
268,Gambela,ET,70.0,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
269,Huaicheng,CN,77.23,scattered clouds,23.9051,112.1931,Tengye Hotel
270,Jieshi,CN,83.95,clear sky,22.8134,115.8257,Yuehai Hotel
272,Killam,CA,78.39,clear sky,52.7834,-111.8518,Wagon Wheel Motel
274,Faanui,PF,76.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
278,Guerrero Negro,MX,78.12,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
283,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
284,Kiunga,PG,70.65,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
285,Vila Velha,BR,71.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
286,Taloqan,AF,82.74,clear sky,36.7361,69.5345,Saraisang street
289,Pemangkat,ID,78.91,few clouds,1.1667,108.9667,Ramah Kost KITA
291,Basco,PH,83.26,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
292,Talara,PE,72.36,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
