City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,56.08,68,98,16.08,overcast clouds
1,Castro,BR,-24.7911,-50.0119,58.26,67,0,3.62,clear sky
2,Liseleje,DK,56.0053,11.9483,68.83,77,45,5.99,scattered clouds
3,Yellowknife,CA,62.456,-114.3525,56.32,50,75,1.99,broken clouds
4,Bengkulu,ID,-3.8004,102.2655,74.93,87,31,4.61,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,69.22,54,0,1.21,clear sky
6,Halifax,CA,44.6453,-63.5724,73.53,69,64,5.01,broken clouds
7,New Norfolk,AU,-42.7826,147.0587,43.92,71,76,3.0,light rain
8,Amot,NO,59.5714,7.9877,57.51,77,10,2.19,clear sky
9,Hermanus,ZA,-34.4187,19.2345,51.91,57,13,4.79,few clouds
10,Derzhavinsk,KZ,51.1,66.3167,72.1,68,100,8.32,moderate rain
11,Cherskiy,RU,68.75,161.3,48.81,68,89,3.71,overcast clouds
12,Jubbal,IN,31.1167,77.6667,61.66,96,97,1.66,overcast clouds
13,Bredasdorp,ZA,-34.5322,20.0403,47.19,68,15,4.36,few clouds
14,Souillac,MU,-20.5167,57.5167,70.18,83,40,9.22,light rain
15,Belyy Yar,RU,53.6039,91.3903,67.89,94,0,4.47,clear sky
16,Bluff,NZ,-46.6,168.3333,44.8,70,100,10.76,overcast clouds
17,Qaqortoq,GL,60.7167,-46.0333,50.5,90,74,6.71,broken clouds
18,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,68,0,16.11,clear sky
19,Sinnar,SD,13.5691,33.5672,72.66,90,100,11.3,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,44.47,88,100,3.56,moderate rain
21,Pevek,RU,69.7008,170.3133,36.79,91,96,11.32,overcast clouds
22,Bon Air,US,37.5249,-77.5578,85.68,71,75,1.99,light rain
23,Georgetown,MY,5.4112,100.3354,82.89,90,20,3.44,few clouds
24,Gazanjyk,TM,39.2446,55.5154,85.05,62,0,12.28,clear sky
25,Westport,US,41.1415,-73.3579,83.68,55,1,1.01,clear sky
26,Beira,MZ,-19.8436,34.8389,68.09,68,75,16.11,light rain
27,Airai,TL,-8.9266,125.4092,55.26,40,6,2.91,clear sky
28,Khatanga,RU,71.9667,102.5,56.7,69,48,16.35,scattered clouds
29,Vaini,TO,-21.2,-175.2,78.96,94,20,4.61,few clouds
30,Chokurdakh,RU,70.6333,147.9167,43.02,70,67,16.04,broken clouds
31,Ust-Omchug,RU,61.15,149.6333,58.12,89,100,6.87,light rain
32,Tura,IN,25.5198,90.2201,75.06,95,95,4.09,overcast clouds
33,Butaritari,KI,3.0707,172.7902,83.71,73,100,15.32,overcast clouds
34,Sorland,NO,67.667,12.6934,52.48,94,100,14.54,overcast clouds
35,Atuona,PF,-9.8,-139.0333,78.71,68,40,16.67,scattered clouds
36,Korla,CN,41.7597,86.1469,87.03,20,43,6.08,scattered clouds
37,Chuy,UY,-33.6971,-53.4616,56.62,85,96,6.17,overcast clouds
38,Along,IN,28.1667,94.7667,76.95,99,100,0.51,overcast clouds
39,Punta Arenas,CL,-53.15,-70.9167,41.11,75,75,11.5,broken clouds
40,Teguise,ES,29.0605,-13.564,68.22,83,20,18.41,few clouds
41,Leningradskiy,RU,69.3833,178.4167,37.54,94,100,5.26,light rain
42,Saskylakh,RU,71.9167,114.0833,58.66,54,100,6.71,overcast clouds
43,Codrington,AU,-38.2667,141.9667,43.95,73,92,17.94,overcast clouds
44,Geraldton,AU,-28.7667,114.6,54.01,94,90,9.22,overcast clouds
45,Tocache,PE,-8.1842,-76.5125,88.52,43,26,1.16,scattered clouds
46,Gat,IL,31.61,34.7642,79.81,77,1,2.53,clear sky
47,Ushuaia,AR,-54.8,-68.3,38.86,87,75,3.44,broken clouds
48,Provideniya,RU,64.3833,-173.3,47.12,98,100,12.88,light rain
49,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,18.41,broken clouds
50,Qaanaaq,GL,77.484,-69.3632,41.38,67,100,1.45,overcast clouds
51,Alihe,CN,50.5667,123.7167,58.89,96,10,2.37,clear sky
52,Kavaratti,IN,10.5669,72.642,82.13,80,73,19.66,broken clouds
53,Bria,CF,6.5423,21.9863,69.66,96,78,2.46,broken clouds
54,Yulara,AU,-25.2406,130.9889,35.44,75,42,4.61,scattered clouds
55,Hithadhoo,MV,-0.6,73.0833,81.97,78,40,11.36,scattered clouds
56,Scarborough,GB,54.2797,-0.4044,62.26,83,100,7.02,overcast clouds
57,Nikolskoye,RU,59.7035,30.7861,58.01,69,46,3.69,scattered clouds
58,Jamestown,US,42.097,-79.2353,74.52,89,90,7.0,overcast clouds
59,Karratha,AU,-20.7377,116.8463,69.3,47,100,7.47,overcast clouds
60,Barrow,US,71.2906,-156.7887,42.82,87,90,3.44,light rain
61,Talnakh,RU,69.4865,88.3972,48.25,91,100,1.34,moderate rain
62,Nuevo Laredo,MX,27.4763,-99.5164,102.83,26,1,17.27,clear sky
63,Sergeyevka,KZ,53.88,67.4158,68.94,72,100,0.78,light rain
64,Porbandar,IN,21.6422,69.6093,81.57,85,100,18.39,light rain
65,Tual,ID,-5.6667,132.75,79.52,74,100,9.75,overcast clouds
66,Ust-Koksa,RU,50.2696,85.6108,54.5,90,15,0.76,few clouds
67,Innisfail,AU,-17.5333,146.0333,62.87,73,79,5.08,broken clouds
68,Maceio,BR,-9.6658,-35.7353,76.44,78,75,8.05,broken clouds
69,Kulhudhuffushi,MV,6.6221,73.07,81.73,75,81,11.56,broken clouds
70,Ponta Do Sol,PT,32.6667,-17.1,73.71,83,0,4.88,clear sky
71,Tuktoyaktuk,CA,69.4541,-133.0374,64.4,48,75,14.97,broken clouds
72,Kapaa,US,22.0752,-159.319,82.72,80,75,5.99,light rain
73,Hobart,AU,-42.8794,147.3294,45.27,67,75,4.0,broken clouds
74,Cape Town,ZA,-33.9258,18.4232,52.12,80,9,2.3,smoke
75,Port-Cartier,CA,50.0334,-66.8654,65.93,66,0,6.67,clear sky
76,Jining,CN,35.405,116.5814,73.54,87,6,4.21,clear sky
77,Isla Vista,US,34.4133,-119.861,92.25,63,90,5.75,overcast clouds
78,Ribeira Brava,PT,32.65,-17.0667,73.71,85,0,4.14,clear sky
79,Nanortalik,GL,60.1432,-45.2371,43.41,97,100,11.97,overcast clouds
80,Fairbanks,US,64.8378,-147.7164,64.4,76,90,5.99,overcast clouds
81,Khandyga,RU,62.6667,135.6,58.48,99,100,5.84,light rain
82,Kahului,US,20.8947,-156.47,87.82,78,40,21.85,scattered clouds
83,Muros,ES,42.7762,-9.0603,64.24,93,66,1.7,broken clouds
84,Alofi,NU,-19.0595,-169.9187,80.49,83,23,8.05,few clouds
85,Carnarvon,AU,-24.8667,113.6333,59.07,71,100,10.36,overcast clouds
86,Lumphat,KH,13.4878,106.9816,73.2,98,100,7.11,overcast clouds
87,Port Lincoln,AU,-34.7333,135.8667,53.31,72,72,17.07,broken clouds
88,East London,ZA,-33.0153,27.9116,55.92,69,0,15.39,clear sky
89,Zhangye,CN,38.9342,100.4517,70.27,72,100,8.9,overcast clouds
90,Thompson,CA,55.7435,-97.8558,69.96,64,75,11.5,broken clouds
91,Avarua,CK,-21.2078,-159.775,78.85,69,25,10.36,scattered clouds
92,Port Alfred,ZA,-33.5906,26.891,54.23,74,0,18.54,clear sky
93,Hamilton,US,39.1834,-84.5333,89.92,59,20,1.01,few clouds
94,Albany,US,42.6001,-73.9662,82.58,50,83,1.01,broken clouds
95,Cortes,ES,41.9395,-1.4396,77.05,56,84,16.11,broken clouds
96,Bonfim,BR,3.0833,-59.95,85.87,65,95,3.8,overcast clouds
97,Upernavik,GL,72.7868,-56.1549,40.06,84,97,5.3,overcast clouds
98,Udachnyy,RU,66.4167,112.4,62.29,53,10,7.56,clear sky
99,Nishihara,JP,26.1842,127.7558,80.26,97,75,16.11,mist
100,Vardo,NO,70.3705,31.1107,46.11,83,99,27.92,overcast clouds
101,Hilo,US,19.7297,-155.09,91.27,80,90,8.05,light rain
102,Jambi,ID,-1.6,103.6167,73.18,92,45,3.0,scattered clouds
103,Begunitsy,RU,59.5855,29.3176,55.69,63,14,3.06,few clouds
104,Dikson,RU,73.5069,80.5464,37.98,94,100,20.67,overcast clouds
105,Ust-Nera,RU,64.5667,143.2,58.05,99,100,7.9,moderate rain
106,Puerto Ayora,EC,-0.7393,-90.3518,80.56,80,21,10.0,few clouds
107,Tilichiki,RU,60.4667,166.1,54.61,87,100,4.59,overcast clouds
108,Ancud,CL,-41.8697,-73.8203,45.93,74,100,3.11,overcast clouds
109,Rio Gallegos,AR,-51.6226,-69.2181,39.25,65,0,6.91,clear sky
110,Shemonaikha,KZ,50.6328,81.9056,63.41,81,3,2.82,clear sky
111,Tahta,EG,26.7693,31.5021,85.93,26,0,5.44,clear sky
112,Ribeira Grande,PT,38.5167,-28.7,73.27,89,89,9.95,overcast clouds
113,Takoradi,GH,4.8845,-1.7554,74.62,81,3,6.15,clear sky
114,Mering,DE,48.2656,10.9846,65.25,90,40,1.99,scattered clouds
115,Chernyshkovskiy,RU,48.4219,42.2308,69.13,55,83,8.3,broken clouds
116,Mar Del Plata,AR,-38.0023,-57.5575,50.13,57,76,11.99,broken clouds
