City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2021-07-22 04:45:00,-38.0023,-57.5575,283.76,57,0,7.15
1,Portland,US,2021-07-22 04:48:39,45.5234,-122.6762,293.47,59,2,1.34
2,Chuy,UY,2021-07-22 04:49:56,-33.6971,-53.4616,281.08,81,99,2.43
3,Miquelon,PM,2021-07-22 04:49:56,47.0975,-56.3814,287.02,94,100,6.15
4,Nikolskoye,RU,2021-07-22 04:49:57,59.7035,30.7861,289.7,57,67,4.17
5,Marawi,PH,2021-07-22 04:49:57,7.9986,124.2928,300.61,54,100,4.02
6,Camacha,PT,2021-07-22 04:49:57,33.0833,-16.3333,291.83,88,40,4.12
7,Sobolevo,RU,2021-07-22 04:49:58,54.4299,31.8996,287.3,67,0,4.28
8,Victoria,HK,2021-07-22 04:48:03,22.2855,114.1577,306.07,74,39,1.79
9,East London,ZA,2021-07-22 04:49:58,-33.0153,27.9116,282.67,53,0,9.26
10,Ushuaia,AR,2021-07-22 04:46:36,-54.8,-68.3,274.96,87,75,0.0
11,Busselton,AU,2021-07-22 04:49:59,-33.65,115.3333,286.51,66,94,3.92
12,Saskylakh,RU,2021-07-22 04:49:59,71.9167,114.0833,293.04,45,100,7.36
13,Praia Da Vitoria,PT,2021-07-22 04:50:00,38.7333,-27.0667,293.29,73,20,6.13
14,Nyurba,RU,2021-07-22 04:50:00,63.2842,118.3319,300.16,41,11,3.39
15,Dhidhdhoo,MV,2021-07-22 04:50:00,6.8833,73.1,301.35,77,100,8.42
16,Esperance,AU,2021-07-22 04:50:01,-33.8667,121.9,286.06,58,49,6.91
17,Punta Arenas,CL,2021-07-22 04:50:01,-53.15,-70.9167,274.21,100,75,2.06
18,Salalah,OM,2021-07-22 04:50:03,17.0151,54.0924,299.68,84,81,6.59
19,Marrakesh,MA,2021-07-22 04:45:08,31.6315,-8.0083,299.19,44,1,2.06
20,Upernavik,GL,2021-07-22 04:50:04,72.7868,-56.1549,278.73,88,100,4.68
21,Leh,IN,2021-07-22 04:50:04,34.1667,77.5833,289.89,48,30,2.48
22,Albany,US,2021-07-22 04:46:24,42.6001,-73.9662,289.6,94,1,1.88
23,Kapaa,US,2021-07-22 04:50:05,22.0752,-159.319,300.33,79,75,1.34
24,Puerto Ayora,EC,2021-07-22 04:50:05,-0.7393,-90.3518,295.12,96,99,3.13
25,Rikitea,PF,2021-07-22 04:50:05,-23.1203,-134.9692,295.66,67,1,6.8
26,Pecanha,BR,2021-07-22 04:50:06,-18.5486,-42.5569,285.16,91,1,0.87
27,Wharton,US,2021-07-22 04:50:06,29.3116,-96.1027,300.1,88,1,0.0
28,Carbonia,IT,2021-07-22 04:50:07,39.1672,8.5222,294.81,51,0,1.56
29,Alekseyevka,RU,2021-07-22 04:50:07,50.6309,38.6903,292.04,77,86,5.54
30,Lipin Bor,RU,2021-07-22 04:50:07,60.2622,37.9763,287.22,54,28,4.33
31,Tiksi,RU,2021-07-22 04:50:08,71.6872,128.8694,278.3,92,100,3.14
32,Northam,GB,2021-07-22 04:50:08,51.0333,-4.2167,293.32,79,100,3.12
33,Ostrovnoy,RU,2021-07-22 04:50:08,68.0531,39.5131,283.19,74,100,3.04
34,Dikson,RU,2021-07-22 04:50:09,73.5069,80.5464,284.15,65,100,7.63
35,Uong Bi,VN,2021-07-22 04:50:09,21.0333,106.7833,302.14,91,100,0.85
36,Taltal,CL,2021-07-22 04:50:10,-25.4,-70.4833,287.8,65,16,2.05
37,Ponta Do Sol,PT,2021-07-22 04:50:10,32.6667,-17.1,293.55,81,0,2.06
38,Inhambane,MZ,2021-07-22 04:50:10,-23.865,35.3833,293.15,93,20,4.02
39,New Norfolk,AU,2021-07-22 04:50:11,-42.7826,147.0587,287.55,55,99,2.24
40,Karakol,KG,2021-07-22 04:50:11,42.4907,78.3936,295.48,40,100,2.96
41,Saint George,US,2021-07-22 04:50:12,37.1041,-113.5841,304.46,46,1,3.13
42,Bonavista,CA,2021-07-22 04:50:12,48.6499,-53.1147,283.21,90,92,4.12
43,Kenai,US,2021-07-22 04:50:12,60.5544,-151.2583,288.18,89,90,4.12
44,Carnarvon,AU,2021-07-22 04:50:13,-24.8667,113.6333,294.19,54,3,4.63
45,Atuona,PF,2021-07-22 04:50:13,-9.8,-139.0333,298.47,68,47,6.81
46,Nemuro,JP,2021-07-22 04:50:14,43.3236,145.575,299.39,91,73,5.09
47,Jamestown,US,2021-07-22 04:48:51,42.097,-79.2353,288.95,87,40,0.45
48,Hobart,AU,2021-07-22 04:50:14,-42.8794,147.3294,287.74,51,75,1.34
49,New Haven,US,2021-07-22 04:48:59,41.4001,-72.9329,294.31,82,1,0.89
50,Grindavik,IS,2021-07-22 04:50:15,63.8424,-22.4338,286.24,100,90,5.14
51,Mahebourg,MU,2021-07-22 04:50:15,-20.4081,57.7,296.07,88,40,5.14
52,Cidreira,BR,2021-07-22 04:50:15,-30.1811,-50.2056,284.58,70,0,1.77
53,Christchurch,NZ,2021-07-22 04:49:54,-43.5333,172.6333,282.54,86,90,1.79
54,Bredasdorp,ZA,2021-07-22 04:50:16,-34.5322,20.0403,279.77,81,73,3.6
55,Cape Town,ZA,2021-07-22 04:46:32,-33.9258,18.4232,280.86,92,75,0.89
56,Katav-Ivanovsk,RU,2021-07-22 04:50:16,54.7531,58.1956,298.66,46,29,2.36
57,Mataura,NZ,2021-07-22 04:50:17,-46.1927,168.8643,281.75,90,45,1.29
58,Port Elizabeth,ZA,2021-07-22 04:50:17,-33.918,25.5701,280.43,93,75,9.26
59,Vakhrushev,RU,2021-07-22 04:50:18,48.9833,142.9667,292.79,83,100,1.93
60,Olafsvik,IS,2021-07-22 04:50:18,64.8945,-23.7142,284.3,96,100,5.53
61,Jumla,NP,2021-07-22 04:50:18,29.2747,82.1838,294.05,81,98,1.48
62,Castro,BR,2021-07-22 04:50:19,-24.7911,-50.0119,281.29,56,0,1.06
63,Port Alfred,ZA,2021-07-22 04:50:19,-33.5906,26.891,281.44,85,90,13.45
64,Baoding,CN,2021-07-22 04:50:19,38.8511,115.4903,295.5,91,100,1.62
65,Phan Thiet,VN,2021-07-22 04:49:35,10.9333,108.1,304.02,61,76,7.1
66,Mineros,BO,2021-07-22 04:50:20,-17.1167,-63.2333,287.92,46,2,0.3
67,Souillac,MU,2021-07-22 04:50:20,-20.5167,57.5167,296.13,88,40,5.14
68,Kolomak,UA,2021-07-22 04:50:21,49.8399,35.3044,292.08,71,66,6.12
69,Isla Vista,US,2021-07-22 04:50:21,34.4133,-119.861,301.55,54,1,2.06
70,Hermanus,ZA,2021-07-22 04:50:21,-34.4187,19.2345,279.76,69,44,4.62
71,Umm Lajj,SA,2021-07-22 04:50:22,25.0213,37.2685,304.29,71,19,8.64
72,Talnakh,RU,2021-07-22 04:50:22,69.4865,88.3972,293.31,42,96,8.62
73,Itamarandiba,BR,2021-07-22 04:50:22,-17.8572,-42.8589,285.06,93,0,0.96
74,Hildburghausen,DE,2021-07-22 04:50:23,50.4255,10.7318,287.62,82,0,1.08
75,La Ronge,CA,2021-07-22 04:50:23,55.1001,-105.2842,294.29,78,90,2.06
76,Basco,PH,2021-07-22 04:50:24,20.4487,121.9702,301.2,87,100,13.64
77,Pucara,PE,2021-07-22 04:50:24,-15.9803,-71.4606,276.43,41,16,1.63
78,Havoysund,NO,2021-07-22 04:50:24,70.9963,24.6622,280.64,85,100,7.59
79,Vanimo,PG,2021-07-22 04:50:25,-2.6741,141.3028,302.22,71,94,2.15
80,Matam,SN,2021-07-22 04:50:25,15.6175,-13.3303,300.7,64,41,8.32
81,Ust-Koksa,RU,2021-07-22 04:50:25,50.2696,85.6108,298.55,45,100,0.23
